symbol,date,n_owners,value
"""WM""",2007-11-09,3,334886.0
(AIG),2006-06-05,3,275165.0
(BBT),2008-02-21,3,512108.47000000003
(BSX),2006-02-17,3,5110470.0
(BSX),2006-05-19,4,1887307.0
(CALX),2018-08-20,3,459865.0
(CALX),2019-02-19,3,924800.0
(CALX),2019-05-23,3,834445.27
(CALX),2019-08-27,4,742848.76
(CBNK),2006-07-20,23,2320430.0
(CHFC),2007-07-31,6,368745.5
(CHFC),2010-08-31,7,353610.5
(CHFC),2011-08-23,8,361068.55
(CHFC),2012-11-21,4,211287.0
(EBSB),2008-01-23,13,1389000.0
(FABK),2007-12-03,12,5225208.23
(FSFG),2008-10-07,9,1854440.0
(LUMO),2021-08-16,3,795725.25
(MCBC),2012-11-13,4,227390.0
(MCBC),2014-05-08,3,294054.05
(NECB),2006-07-06,8,355000.0
(NONE),2006-02-22,3,9020155.4958
(NONE),2007-01-12,8,1496510.0
(NONE),2008-05-20,4,220388.4
(NONE),2009-05-22,3,829648.91
(NONE),2011-03-01,3,70353300.0
(NYSE:FBC),2007-11-05,4,1788660.87
(NYSE:FBC),2008-07-28,3,208160.0
(NYSE:FBC),2009-02-03,10,4504000.0
(NYSE:FBC),2010-04-02,3,1251250.0
(NYSE:FBC),2010-11-02,6,494500.0
(NYSE:FBC),2014-10-28,5,207227.47999999998
(NYSE:FBC),2022-05-27,3,709950.76
(PBCP.OB),2007-09-11,7,213925.90000000002
(PBKS),2007-07-26,3,370897.93
(PBKS),2008-04-15,20,802947.9999999999
(PULB),2006-02-10,5,1978687.5
(PULB),2008-10-01,5,209588.63
(PULB),2008-12-30,6,236912.51
(RECV),2012-12-06,3,407700.0
(RURL),2007-07-20,3,6304740.430000001
--,2021-08-27,3,141825649.0
/ADVNB),2007-11-14,3,596107.79
0,2007-02-08,5,1100000.0
0,2008-02-06,7,1600000.0
1314152,2012-10-02,3,220000.0
?OSH?,2020-08-28,4,312480.0
AA,2014-07-21,3,538215.0
AA,2016-02-04,3,390570.83
AAACX,2020-03-05,3,1077769.5622999999
AAC,2014-10-09,4,2400345.0
AAC,2015-08-07,3,681696.3
AAC,2019-06-12,3,219251.63
AACC,2008-04-16,3,984025.0
AACC,2008-07-15,6,12125177.799999999
AACQ,2007-02-02,7,273380.01
AADX,2026-06-04,4,1170000.0
AAIC,2022-06-27,3,284434.51
AAIDX,2019-01-22,3,1100062.6289
AAL,2019-06-04,6,2375100.0
AALA,2008-11-04,7,1836308.88
