combo,k,dates,picks,edge,win,p
in_fvg + mom_top30 + calm_vix,3,42,12.904761904761905,1.7927452715390608,61.904761904761905,0.009
at_support + mom_top30 + scared_vix,3,48,15.791666666666666,1.3312508267428518,56.25,0.034
in_fvg + q_uptrend + mom_top30,3,84,15.119047619047619,1.3062479985809596,61.904761904761905,0.003
in_fvg + mom_top30,2,84,15.261904761904763,1.188890164691509,60.71428571428571,0.006
in_fvg + mom_top30 + market_up,3,78,14.91025641025641,1.1515456108467297,61.53846153846154,0.015
at_support + mom_top30 + market_up,3,79,12.050632911392405,1.023607406954907,51.89873417721519,0.064
at_support + mom_top30 + far_fomc,3,80,13.8625,0.9118923393357719,51.24999999999999,0.1
at_support + mom_top30,2,91,14.032967032967033,0.9095406133265131,53.84615384615385,0.053
at_support + q_uptrend + mom_top30,3,90,13.033333333333333,0.8593550087203558,52.22222222222223,0.085
in_fvg + mom_top30 + far_fomc,3,74,15.337837837837839,0.8042512546731849,59.45945945945946,0.078
in_fvg + q_uptrend + scared_vix,3,47,35.255319148936174,0.7453200549705268,53.191489361702125,0.112
in_fvg + q_stable + mom_top30,3,71,12.028169014084508,0.7360222620710869,56.33802816901409,0.113
in_fvg + q_uptrend,2,98,31.357142857142858,0.7178019959183115,56.12244897959183,0.017
in_fvg + q_uptrend + market_up,3,91,32.010989010989015,0.6972345445150532,53.84615384615385,0.02
in_fvg + q_uptrend + calm_vix,3,51,27.764705882352942,0.6952052542728165,56.86274509803921,0.11
in_fvg + calm_vix + far_fomc,3,46,34.71739130434783,0.5724069810269277,52.17391304347826,0.183
in_fvg,1,101,42.198019801980195,0.5405792468707968,53.46534653465347,0.097
in_fvg + scared_vix,2,50,50.16,0.5325618987797105,54.0,0.293
at_support + in_fvg + scared_vix,3,43,16.697674418604652,0.5243966563832427,53.48837209302325,0.37
in_fvg + q_stable + scared_vix,3,47,24.95744680851064,0.5241697485107093,51.06382978723404,0.405
at_support + q_lowvol + mom_top30,3,30,9.5,0.5179038321560256,56.666666666666664,0.485
in_fvg + mom_top30 + scared_vix,3,42,17.61904761904762,0.5177772713179822,57.14285714285714,0.372
in_fvg + calm_vix,2,51,34.3921568627451,0.49509451247657577,56.86274509803921,0.208
