signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
mom126_s21,10,,,spy_up,equal,93,7.043591860470631,3.634754009647757,3.4088378508228754,67.74193548387096,-20.479221427565623,0.0
mom126,10,,,spy_up,equal,93,7.022400186766557,3.634754009647757,3.387646177118802,67.74193548387096,-16.0716168482905,0.0
mom126_s21,10,above200,,spy_up,equal,93,6.960425732652885,3.634754009647757,3.325671723005129,69.89247311827957,-20.479221427565623,0.0
mom126,10,above200,,spy_up,equal,93,6.914797314687428,3.634754009647757,3.280043305039672,67.74193548387096,-16.0716168482905,0.0
mom126,10,,,,equal,105,7.380544584435624,4.236315033867098,3.1442295505685265,64.76190476190476,-16.0716168482905,0.0
mom126,10,above200,,,equal,105,7.29512780524299,4.236315033867098,3.058812771375892,64.76190476190476,-16.0716168482905,0.0
mom189,10,above200,,spy_up,equal,93,6.669308792158395,3.634754009647757,3.0345547825106385,64.51612903225806,-14.125641166332464,0.0
mom189,10,,,spy_up,equal,93,6.657842472852965,3.634754009647757,3.0230884632052097,64.51612903225806,-14.125641166332464,0.0
mom126_s21,10,,,,equal,105,7.2455909997908075,4.236315033867098,3.00927596592371,63.8095238095238,-20.479221427565623,0.0
mom126,10,above50,,spy_up,equal,93,6.638085743733912,3.634754009647757,3.003331734086156,67.74193548387096,-14.023506448443685,0.0
mom126_s21,10,above200,,,equal,105,7.233447993284468,4.236315033867098,2.997132959417371,66.66666666666666,-20.479221427565623,0.0
mom63,10,above200,,spy_up,equal,93,6.621063473278113,3.634754009647757,2.986309463630355,68.81720430107528,-11.419248961639674,0.0
mom126_s21,10,above50,,spy_up,equal,93,6.517929408981583,3.634754009647757,2.883175399333825,64.51612903225806,-16.852757928331517,0.0
mom189,10,,,,equal,105,7.089943324480551,4.236315033867098,2.8536282906134534,61.904761904761905,-14.125641166332464,0.0
mom189,10,above200,,,equal,105,7.038618072738101,4.236315033867098,2.8023030388710053,60.952380952380956,-14.125641166332464,0.0
mom126,10,above50,,,equal,105,7.0267125043106216,4.236315033867098,2.7903974704435233,65.71428571428571,-14.023506448443685,
mom126_s21,10,,,spy_up,invvol,93,6.416719259317305,3.634754009647757,2.781965249669548,66.66666666666666,-19.522186672750582,
