symbol,cik
MMM,66740
AOS,91142
ABT,1800
ABBV,1551152
ACN,1467373
ADBE,796343
AMD,2488
AES,874761
AFL,4977
A,1090872
APD,2969
ABNB,1559720
AKAM,1086222
ALB,915913
ARE,1035443
ALGN,1097149
ALLE,1579241
LNT,352541
ALL,899051
GOOGL,1652044
GOOG,1652044
MO,764180
AMZN,1018724
AMCR,1748790
AEE,1002910
AEP,4904
AXP,4962
AIG,5272
AMT,1053507
AWK,1410636
AMP,820027
AME,1037868
AMGN,318154
APH,820313
ADI,6281
AON,315293
APA,1841666
APO,1858681
AAPL,320193
AMAT,6951
APP,1751008
APTV,1521332
ACGL,947484
ADM,7084
ARES,1176948
ANET,1596532
AJG,354190
AIZ,1267238
T,732717
ATO,731802
ADSK,769397
ADP,8670
AZO,866787
AVY,8818
AXON,1069183
BKR,1701605
BALL,9389
BAC,70858
BAX,10456
BDX,10795
BRK-B,1067983
BBY,764478
TECH,842023
BIIB,875045
BLK,2012383
BX,1393818
XYZ,1512673
BNY,1390777
BA,12927
BKNG,1075531
BSX,885725
BMY,14272
AVGO,1730168
BR,1383312
BRO,79282
BF-B,14693
BLDR,1316835
BG,1996862
BXP,1037540
CHRW,1043277
CDNS,813672
CPT,906345
COF,927628
CAH,721371
CCL,815097
CARR,1783180
CVNA,1690820
CASY,726958
CAT,18230
CBOE,1374310
CBRE,1138118
CDW,1402057
COR,1140859
CNC,1071739
CNP,1130310
CF,1324404
CRL,1100682
SCHW,316709
CHTR,1091667
CVX,93410
CMG,1058090
CB,896159
CHD,313927
CIEN,936395
CI,1739940
CINF,20286
CTAS,723254
CSCO,858877
C,831001
CFG,759944
CLX,21076
CME,1156375
CMS,811156
KO,21344
CTSH,1058290
COHR,820318
COIN,1679788
CL,21665
CMCSA,1166691
FIX,1035983
COP,1163165
ED,1047862
STZ,16918
CEG,1868275
COO,711404
CPRT,900075
GLW,24741
CPAY,1175454
CTVA,1755672
CSGP,1057352
COST,909832
CRH,849395
CRWD,1535527
CCI,1051470
CSX,277948
CMI,26172
CVS,64803
DHR,313616
DRI,940944
DDOG,1561550
DVA,927066
DECK,910521
DE,315189
DELL,1571996
DAL,27904
DVN,1090012
DXCM,1093557
FANG,1539838
DLR,1297996
DG,29534
DLTR,935703
D,715957
DPZ,1286681
DASH,1792789
DOV,29905
DOW,1751788
DHI,882184
DTE,936340
DUK,1326160
DD,1666700
ETN,1551182
EBAY,1065088
ECHO,1415404
ECL,31462
EIX,827052
EW,1099800
ELV,1156039
EME,105634
EMR,32604
ETR,65984
EOG,821189
EQT,33213
EFX,33185
EQIX,1101239
ERIE,922621
ESS,920522
EL,1001250
EG,1095073
EVRG,1711269
ES,72741
EXC,1109357
EXE,895126
EXPE,1324424
EXPD,746515
EXR,1289490
XOM,2115436
FFIV,1048695
FDS,1013237
FICO,814547
FAST,815556
FRT,34903
FDX,1048911
FDXF,2082247
FERG,2011641
FIS,1136893
FITB,35527
FSLR,1274494
FE,1031296
FISV,798354
FLEX,866374
F,37996
FTNT,1262039
FTV,1659166
FOXA,1754301
FOX,1754301
BEN,38777
FCX,831259
GRMN,1121788
IT,749251
GE,40545
GEHC,1932393
GEV,1996810
GEN,849399
GNRC,1474735
GD,40533
GIS,40704
GM,1467858
GPC,40987
GILD,882095
GPN,1123360
GL,320335
GDDY,1609711
GS,886982
HAL,45012
HIG,874766
HAS,46080
HCA,860730
DOC,765880
HSIC,1000228
HSY,47111
HPE,1645590
HLT,1585689
HD,354950
HONA,2089271
HON,773840
HRL,48465
HST,1070750
HWM,4281
HPQ,47217
HUBB,48898
HUM,49071
HBAN,49196
HII,1501585
IBM,51143
IEX,832101
IDXX,874716
ITW,49826
INCY,879169
IR,1699150
PODD,1145197
INTC,50863
IBKR,1381197
ICE,1571949
IFF,51253
IP,51434
INTU,896878
ISRG,1035267
IVZ,914208
INVH,1687229
IQV,1478242
IRM,1020569
JBHT,728535
JBL,898293
JKHY,779152
J,52988
JNJ,200406
JCI,833444
JPM,19617
KVUE,1944048
KDP,1418135
KEY,91576
KEYS,1601046
KMB,55785
KIM,879101
KMI,1506307
KKR,1404912
KLAC,319201
KHC,1637459
KR,56873
LHX,202058
LH,920148
LRCX,707549
LVS,1300514
LDOS,1336920
LEN,920760
LII,1069202
LLY,59478
LIN,1707925
LYV,1335258
LMT,936468
L,60086
LOW,60667
LULU,1397187
LITE,1633978
LYB,1489393
MTB,36270
MPC,1510295
MAR,1048286
MRSH,62709
MLM,916076
MRVL,1835632
MAS,62996
MA,1141391
MKC,63754
MCD,63908
MCK,927653
MDT,1613103
MRK,310158
META,1326801
MET,1099219
MTD,1037646
MGM,789570
MCHP,827054
MU,723125
MSFT,789019
MAA,912595
MRNA,1682852
TAP,24545
MDLZ,1103982
MPWR,1280452
MNST,865752
MCO,1059556
MS,895421
MOS,1285785
MSI,68505
MSCI,1408198
NDAQ,1120193
NTAP,1002047
NFLX,1065280
NEM,1164727
NWSA,1564708
NWS,1564708
NEE,753308
NKE,320187
NI,1111711
NDSN,72331
NSC,702165
NTRS,73124
NOC,1133421
NCLH,1513761
NRG,1013871
NUE,73309
NVDA,1045810
NVR,906163
NXPI,1413447
ORLY,898173
OXY,797468
ODFL,878927
OMC,29989
ON,1097864
OKE,1039684
ORCL,1341439
OTIS,1781335
PCAR,75362
PKG,75677
PLTR,1321655
PANW,1327567
PSKY,2041610
PH,76334
PAYX,723531
PYPL,1633917
PNR,77360
PEP,77476
PFE,78003
PCG,1004980
PM,1413329
PSX,1534701
PNW,764622
PNC,713676
PPG,79879
PPL,922224
PFG,1126328
PG,80424
PGR,80661
PLD,1045609
PRU,1137774
PEG,788784
PTC,857005
PSA,1393311
PHM,822416
PWR,1050915
QCOM,804328
DGX,1022079
Q,2058873
RL,1037038
RJF,720005
RDDT,1713445
RTX,101829
O,726728
REG,910606
REGN,872589
RF,1281761
RSG,1060391
RMD,943819
RVTY,31791
HOOD,1783879
ROK,1024478
ROL,84839
ROP,882835
ROST,745732
RCL,884887
SPGI,64040
CRM,1108524
SNDK,2023554
SBAC,1034054
SLB,87347
STX,1137789
SRE,1032208
NOW,1373715
SHW,89800
SPG,1063761
SWKS,4127
SJM,91419
SW,2005951
SNA,91440
SOLV,1964738
SO,92122
LUV,92380
SWK,93556
SBUX,829224
STT,93751
STLD,1022671
STE,1757898
SYK,310764
SMCI,1375365
SYF,1601712
SNPS,883241
SYY,96021
TMUS,1283699
TROW,1113169
TTWO,946581
TPR,1116132
TRGP,1389170
TGT,27419
TEL,1385157
TDY,1094285
TER,97210
TSLA,1318605
TXN,97476
TPL,1811074
TXT,217346
TMO,97745
TJX,109198
TKO,1973266
