cik,name,ticker,first_filing,last_filing,n_filings
0000086115,SAFEGUARD SCIENTIFICS INC,SFES,2023-10-05,2024-02-20,6
0000927761,MYMETICS CORP,CIK 0000927761,2023-10-17,2023-10-27,3
0001719395,"Eargo, Inc.",CIK 0001719395,2023-11-21,2023-11-21,3
0001697818,iClick Interactive Asia Group Ltd,ICLK,2023-12-19,2023-12-19,1
0001606268,"Via Renewables, Inc.",VIASP,2024-02-12,2024-02-12,1
0001814329,"Astra Space, Inc.",CIK 0001814329,2024-04-08,2024-06-04,3
0001604738,Ashford Inc.,CIK 0001604738,2024-04-12,2024-07-31,10
0000806517,PSYCHEMEDICS CORP,PMD,2024-09-03,2024-12-10,9
0000914712,"Steel Connect, Inc.",STCN,2024-12-09,2024-12-09,1
0000886835,SUPERIOR ENERGY SERVICES INC,CIK 0000886835,2024-12-17,2025-01-30,9
0001874944,"Vacasa, Inc.",VCSA,2025-01-31,2025-03-21,2
0001671284,"NeueHealth, Inc.",NEUE,2025-02-03,2025-02-03,3
0001785592,"Leafly Holdings, Inc. /DE","LFLY, LFLYW",2025-04-11,2025-06-20,5
0001522222,"CLS Holdings USA, Inc.",CLSH,2025-05-01,2025-06-25,8
0001708176,Hall of Fame Resort & Entertainment Co,HOFV,2025-07-11,2025-07-11,1
0001815974,"Anebulo Pharmaceuticals, Inc.",ANEB,2025-07-23,2025-10-14,7
0001447380,MOBIVITY HOLDINGS CORP.,MFON,2025-08-01,2025-09-09,3
0001825155,TELUS International (Cda) Inc.,Cda,2025-09-18,2025-09-18,1
0001552800,"TILE SHOP HOLDINGS, INC.",TTSH,2025-10-06,2025-12-15,7
0000812152,RIDGEFIELD ACQUISITION CORP,RDGA,2025-10-20,2025-12-12,3
0001946399,"LakeShore Biopharma Co., Ltd.","LSBCF, LSBWF",2025-11-26,2026-05-28,6
0001733443,"5&2 Studios, Inc.",CIK 0001733443,2025-12-31,2026-03-30,6
0000768408,CYANOTECH CORP,CYAN,2026-01-09,2026-02-13,4
0001855457,"KORE Group Holdings, Inc.","KORE, KORGW",2026-04-15,2026-04-15,7
