a,b,raw,partial,explained
XOM,CVX,0.8159582315086986,0.81380044310239,0.002157788406308647
JPM,BAC,0.7572882067757871,0.639595436483981,0.11769277029180614
KO,PEP,0.6125317499855851,0.6125594797061199,-2.772972053477485e-05
NVDA,AVGO,0.61834300320343,0.35101210243229425,0.2673309007711358
AMD,MU,0.5636773761756838,0.3417006475682252,0.2219767286074586
AVGO,MU,0.5478928680428817,0.3093144712932411,0.23857839674964065
NVDA,AMD,0.5382511038825917,0.22825301161663522,0.3099980922659564
NVDA,MU,0.5032820065489926,0.20869447577995343,0.29458753076903915
CVX,BAC,0.28564085739431616,0.1960336365064529,0.08960722088786327
XOM,BAC,0.22196587686749575,0.17825790470579303,0.04370797216170272
CVX,JPM,0.2721199753641522,0.17776769587350724,0.09435227949064498
PEP,TLT,0.18511005901132208,0.1777089564443794,0.00740110256694268
AMD,AVGO,0.48344919938716585,0.17691851704661465,0.3065306823405512
KO,TLT,0.15891973190556344,0.15740079495167447,0.0015189369538889663
XOM,JPM,0.2019125280198723,0.15332034850824047,0.04859217951163183
PEP,XOM,0.15178019588810057,0.14445754081717466,0.007322655070925915
KO,XOM,0.13840710648369356,0.13669276113092757,0.001714345352765989
PEP,CVX,0.13370066146742934,0.12209234538047592,0.011608316086953424
GLD,TLT,0.13190322214633685,0.1097916416429727,0.022111580503364148
MU,GLD,0.18469046196659483,0.10920639225967327,0.07548406970692156
KO,CVX,0.09673642617649204,0.09417403006255737,0.0025623961139346757
AMD,GLD,0.1755152900093721,0.09255460743865437,0.08296068257071773
PEP,BAC,0.07063878165537053,0.040165126986004676,0.030473654669365857
KO,BAC,0.03652385560455787,0.029055583126016166,0.007468272478541704
XOM,GLD,0.049235578108544405,0.026874215787440633,0.02236136232110377
KO,JPM,0.024568652828981685,0.01438797419972647,0.010180678629255216
PEP,JPM,0.040367359226632274,0.0025090355267355564,0.037858323699896716
AVGO,GLD,0.10658616229750797,0.0015700370061780392,0.10501612529132993
KO,GLD,0.00269181425551034,-0.0011126095424720682,0.0038044237979824084
PEP,GLD,0.004401927652658045,-0.0070391161052606385,0.011441043757918684
BAC,TLT,0.07018075853979408,-0.01525710247494562,0.0854378610147397
NVDA,GLD,0.09735296655751621,-0.02263187373625087,0.11998484029376708
JPM,GLD,0.05919703287763493,-0.0486755404472469,0.10787257332488183
CVX,GLD,-0.0144669137199353,-0.055310858955987356,0.04084394523605206
AMD,TLT,0.04279476550682854,-0.05717514780484499,0.09996991331167354
AVGO,TLT,0.042413447602106684,-0.061431613995564044,0.10384506159767073
BAC,GLD,0.04249271840259351,-0.0665312434180761,0.10902396182066962
MU,TLT,0.025099295367781306,-0.06924000332430642,0.09433929869208774
MU,XOM,0.00750177104415237,-0.0830430152739925,0.09054478631814486
AMD,XOM,3.6982348812483305e-05,-0.10275413886893627,0.10279112121774875
XOM,TLT,-0.08656410847923787,-0.10838794921371926,0.02182384073448139
MU,CVX,0.03802950109393516,-0.11032951012394387,0.14835901121787903
NVDA,TLT,0.0052813406142794336,-0.12535117723605574,0.13063251785033517
CVX,TLT,-0.08852311874969244,-0.1261720847957921,0.037648966046099644
MU,BAC,0.22510695230544883,-0.13533762054874118,0.36044457285419
AMD,CVX,0.028849188726303453,-0.13850109225617496,0.16735028098247842
AVGO,CVX,0.030140476479745514,-0.1434853504947699,0.17362582697451542
JPM,TLT,-0.03884740037406781,-0.15228495126343475,0.11343755088936694
AMD,JPM,0.245814075205877,-0.156344239187797,0.402158314393674
AVGO,XOM,-0.04215970190262282,-0.16115955917018399,0.11899985726756117
NVDA,CVX,0.03455698738759168,-0.16126280542095203,0.19581979280854372
NVDA,XOM,-0.037742269331369586,-0.17352635133923652,0.13578408200786693
MU,JPM,0.20578953794685304,-0.17410305013900582,0.37989258808585885
AVGO,JPM,0.22850031326560008,-0.19956913809094043,0.4280694513565405
AMD,BAC,0.20870258534049152,-0.20144198503959063,0.4101445703800821
AMD,PEP,-0.13447744971702508,-0.21914760574043524,0.08467015602341016
NVDA,JPM,0.24515136597834994,-0.23125387461282368,0.4764052405911736
AMD,KO,-0.17279913910982223,-0.23336713012705093,0.060567991017228706
MU,KO,-0.1886824140265203,-0.24297759013775225,0.05429517611123194
AVGO,BAC,0.18027400648447553,-0.2618728933258067,0.4421468998102822
MU,PEP,-0.18042008745325733,-0.26344935352668297,0.08302926607342564
AVGO,PEP,-0.17211272678917566,-0.2717568785175271,0.09964415172835145
AVGO,KO,-0.20806904089514142,-0.28221631524609425,0.07414727435095284
NVDA,BAC,0.183305999929705,-0.3182396291602303,0.5015456290899353
NVDA,KO,-0.22923079569372404,-0.32821285348464435,0.09898205779092031
NVDA,PEP,-0.1992716528554073,-0.3282919552741275,0.12902030241872023
